,release_date,movie,production_budget_millions,domestic_gross_millions,worldwide_gross_millions,vote_average,vote_count,start_year,genres,directors_name,movie_profits_millions
346,9-Mar-18,A Wrinkle in Time,103.0,100.478608,133.401882,5.0,1073,2018,"Adventure,Family,Fantasy",Ava DuVernay,30.401882
347,21-Dec-18,Bumblebee,102.0,127.195589,465.195589,6.5,2425,2018,"Action,Adventure,Sci-Fi",Travis Knight,363.195589
348,25-Dec-12,Django Unchained,100.0,162.805434,449.948323,8.0,15725,2012,"Drama,Western",Quentin Tarantino,349.948323
349,22-Dec-10,Little Fockers,100.0,148.4386,310.650574,5.6,1883,2010,"Comedy,Romance",Paul Weitz,210.650574
350,6-Aug-10,The Other Guys,100.0,119.219978,170.93647,6.2,2187,2010,"Action,Comedy,Crime",Adam McKay,70.93647000000001
351,25-Dec-13,The Wolf of Wall Street,100.0,116.900694,389.870414,7.9,12411,2013,"Biography,Crime,Drama",Martin Scorsese,289.870414
352,24-May-13,Epic,100.0,107.518682,262.794441,6.4,1670,2013,"Adventure,Animation,Family",Chris Wedge,162.794441
353,17-Aug-12,The Expendables 2,100.0,85.028192,311.979256,6.2,4219,2012,"Action,Adventure,Thriller",Simon West,211.97925600000002
354,25-Jul-14,Hercules,100.0,72.688614,243.388614,5.6,2606,2014,"Action,Adventure,Fantasy",Brett Ratner,143.388614
355,13-Jun-97,Hercules,70.0,99.112101,250.7,5.6,2606,2014,"Action,Adventure,Fantasy",Brett Ratner,180.7
356,10-Dec-10,The Tourist,100.0,67.631157,278.731369,6.1,3133,2010,"Action,Adventure,Thriller",Florian Henckel von Donnersmarck,178.73136899999997
357,24-Sep-10,Legend of the Guardians: The Owls of Ga'Hoole,100.0,55.675313,139.716717,6.6,1223,2010,"Action,Adventure,Animation",Zack Snyder,39.71671699999999
358,15-Aug-14,The Expendables 3,100.0,39.322544,209.461378,6.1,2876,2014,"Action,Adventure,Thriller",Patrick Hughes,109.461378
359,12-Mar-10,Green Zone,100.0,35.497337,97.52302,6.4,1176,2010,"Action,Drama,Thriller",Paul Greengrass,-2.4769799999999975
360,20-Oct-17,Geostorm,100.0,33.70016,220.796009,5.8,2246,2017,"Action,Sci-Fi,Thriller",Dean Devlin,120.796009
361,25-Dec-15,Point Break,100.0,28.782481,126.704591,5.6,1260,2015,"Action,Crime,Sport",Ericson Core,26.704590999999994
362,12-Jul-91,Point Break,24.0,43.218387,83.531958,5.6,1260,2015,"Action,Crime,Sport",Ericson Core,59.531958
363,11-Dec-15,In the Heart of the Sea,100.0,25.020758,89.693309,6.6,2137,2015,"Action,Adventure,Biography",Ron Howard,-10.306691
364,18-Apr-14,Transcendence,100.0,23.022309,103.039258,5.5,2,2012,Drama,Nicholas P. Richards,3.039258000000004
368,14-Dec-18,Mortal Engines,100.0,15.95104,85.287417,6.0,1751,2018,"Action,Adventure,Fantasy",Christian Rivers,-14.712582999999995
369,6-Nov-15,The Peanuts Movie,99.0,130.178411,250.09161,6.6,894,2015,"Adventure,Animation,Comedy",Steve Martino,151.09161
370,19-May-17,Alien: Covenant,97.0,74.262031,238.521247,5.9,4971,2017,"Horror,Sci-Fi,Thriller",Ridley Scott,141.521247
371,13-Mar-15,Cinderella,95.0,201.151353,534.551353,4.6,8,2018,Musical,Brad Dalton,439.55135299999995
373,15-Feb-50,Cinderella,2.9,85.0,263.591415,4.6,8,2018,Musical,Brad Dalton,260.691415
387,27-May-10,Sex and the City 2,95.0,95.347692,294.680778,5.9,809,2010,"Comedy,Drama,Romance",Michael Patrick King,199.68077799999998
